year,city,ma,country,avg_temp
1799,Chicago,9.767999999999999,United States,10.11
1800,Chicago,9.760399999999999,United States,10.11
1801,Chicago,9.746,United States,10.47
1802,Chicago,9.869200000000001,United States,10.66
1803,Chicago,9.878,United States,10.48
1804,Chicago,9.873400000000002,United States,10.41
1805,Chicago,9.937800000000001,United States,10.63
1806,Chicago,9.916800000000002,United States,10.1
1807,Chicago,9.924400000000002,United States,9.88
1808,Chicago,9.949000000000002,United States,9.84
1809,Chicago,9.938000000000002,United States,9.04
1810,Chicago,9.961400000000003,United States,9.22
1811,Chicago,9.940800000000003,United States,9.37
1812,Chicago,9.911200000000003,United States,8.34
1813,Chicago,9.950200000000002,United States,9.67
1814,Chicago,9.928600000000003,United States,9.55
1815,Chicago,9.910200000000003,United States,8.86
1816,Chicago,9.865800000000002,United States,8.27
1817,Chicago,9.848400000000003,United States,8.54
1818,Chicago,9.857800000000003,United States,9.42
1819,Chicago,9.845800000000002,United States,9.19
1820,Chicago,9.833000000000002,United States,9.02
1821,Chicago,9.805800000000001,United States,9.08
1822,Chicago,9.797800000000002,United States,9.87
1823,Chicago,9.775600000000003,United States,9.31
1824,Chicago,9.761600000000001,United States,9.57
1825,Chicago,9.759200000000002,United States,10.87
1826,Chicago,9.7634,United States,10.19
1827,Chicago,9.781600000000001,United States,10.58
1828,Chicago,9.849,United States,11.0
1829,Chicago,9.8414,United States,9.94
1830,Chicago,9.812800000000001,United States,11.11
1831,Chicago,9.7896,United States,9.02
1832,Chicago,9.8024,United States,10.33
1833,Chicago,9.8276,United States,10.7
1834,Chicago,9.858,United States,10.92
1835,Chicago,9.8628,United States,9.44
1836,Chicago,9.8414,United States,8.68
1837,Chicago,9.834200000000003,United States,9.42
1838,Chicago,9.804800000000002,United States,8.81
1839,Chicago,9.815600000000003,United States,10.57
1840,Chicago,9.821800000000003,United States,10.24
1841,Chicago,9.816000000000003,United States,9.83
1842,Chicago,9.830000000000002,United States,10.32
1843,Chicago,9.801600000000002,United States,8.78
1844,Chicago,9.801200000000001,United States,10.28
1845,Chicago,9.813000000000002,United States,10.6
1846,Chicago,9.840400000000002,United States,11.29
1847,Chicago,9.831800000000001,United States,9.23
1848,Chicago,9.818600000000002,United States,9.77
1849,Chicago,9.8032,United States,9.34
1850,Chicago,9.7988,United States,9.89
1851,Chicago,9.7928,United States,10.17
1852,Chicago,9.776,United States,9.82
1853,Chicago,9.770599999999998,United States,10.21
1854,Chicago,9.781599999999997,United States,10.96
1855,Chicago,9.763199999999998,United States,9.71
1856,Chicago,9.734399999999997,United States,8.66
1857,Chicago,9.711999999999996,United States,8.76
1858,Chicago,9.725799999999998,United States,10.53
1859,Chicago,9.740199999999996,United States,9.76
1860,Chicago,9.750799999999996,United States,9.75
1861,Chicago,9.755799999999995,United States,9.62
1862,Chicago,9.776199999999996,United States,9.36
1863,Chicago,9.777399999999997,United States,9.73
1864,Chicago,9.773399999999997,United States,9.35
1865,Chicago,9.794599999999997,United States,9.92
1866,Chicago,9.810199999999998,United States,9.05
1867,Chicago,9.827999999999998,United States,9.43
1868,Chicago,9.817199999999996,United States,8.88
1869,Chicago,9.807999999999998,United States,8.73
1870,Chicago,9.838599999999998,United States,10.55
1871,Chicago,9.855199999999998,United States,9.91
1872,Chicago,9.832199999999998,United States,8.72
1873,Chicago,9.822799999999999,United States,8.84
1874,Chicago,9.834999999999999,United States,10.18
1875,Chicago,9.773599999999998,United States,7.8
1876,Chicago,9.763599999999999,United States,9.69
1877,Chicago,9.7656,United States,10.68
1878,Chicago,9.771799999999999,United States,11.31
1879,Chicago,9.7752,United States,10.11
1880,Chicago,9.7622,United States,10.46
1881,Chicago,9.7868,United States,10.25
1882,Chicago,9.787799999999999,United States,10.38
1883,Chicago,9.7422,United States,8.42
1884,Chicago,9.7108,United States,9.35
1885,Chicago,9.6812,United States,7.96
1886,Chicago,9.695599999999999,United States,9.4
1887,Chicago,9.7,United States,9.64
1888,Chicago,9.698599999999999,United States,8.74
1889,Chicago,9.687599999999998,United States,10.02
1890,Chicago,9.686999999999998,United States,10.21
1891,Chicago,9.6962,United States,10.29
1892,Chicago,9.674,United States,9.21
1893,Chicago,9.6766,United States,8.91
1894,Chicago,9.6868,United States,10.79
1895,Chicago,9.661200000000001,United States,9.32
1896,Chicago,9.6432,United States,10.39
1897,Chicago,9.6596,United States,10.05
1898,Chicago,9.669,United States,10.24
1899,Chicago,9.6846,United States,10.12
1900,Chicago,9.6994,United States,10.63
1901,Chicago,9.6934,United States,9.87
1902,Chicago,9.6978,United States,10.04
1903,Chicago,9.685,United States,9.57
1904,Chicago,9.637000000000002,United States,8.56
1905,Chicago,9.631200000000002,United States,9.42
1906,Chicago,9.669200000000002,United States,10.56
1907,Chicago,9.680400000000002,United States,9.32
1908,Chicago,9.683400000000002,United States,10.68
1909,Chicago,9.686000000000002,United States,9.89
1910,Chicago,9.695000000000002,United States,10.2
1911,Chicago,9.720000000000002,United States,10.87
1912,Chicago,9.711800000000002,United States,8.95
1913,Chicago,9.7338,United States,10.83
1914,Chicago,9.7508,United States,10.2
1915,Chicago,9.752,United States,9.98
1916,Chicago,9.7678,United States,9.84
1917,Chicago,9.7404,United States,8.06
1918,Chicago,9.764,United States,10.06
1919,Chicago,9.8022,United States,10.64
1920,Chicago,9.787799999999999,United States,9.83
1921,Chicago,9.835199999999997,United States,12.28
1922,Chicago,9.879199999999997,United States,10.92
1923,Chicago,9.904799999999998,United States,10.12
1924,Chicago,9.876599999999998,United States,8.77
1925,Chicago,9.919199999999996,United States,9.93
1926,Chicago,9.907799999999998,United States,9.12
1927,Chicago,9.904999999999998,United States,10.54
1928,Chicago,9.882999999999997,United States,10.21
1929,Chicago,9.866399999999997,United States,9.28
1930,Chicago,9.872999999999998,United States,10.79
1931,Chicago,9.915799999999997,United States,12.39
1932,Chicago,9.920399999999997,United States,10.61
1933,Chicago,9.973799999999997,United States,11.09
1934,Chicago,10.004199999999996,United States,10.87
1935,Chicago,10.045199999999996,United States,10.01
1936,Chicago,10.054399999999996,United States,9.86
1937,Chicago,10.061399999999997,United States,9.99
1938,Chicago,10.114599999999996,United States,11.4
1939,Chicago,10.141199999999996,United States,11.35
1940,Chicago,10.130399999999996,United States,9.67
1941,Chicago,10.152799999999996,United States,11.41
1942,Chicago,10.176799999999997,United States,10.41
1943,Chicago,10.192999999999996,United States,9.72
1944,Chicago,10.193599999999996,United States,10.82
1945,Chicago,10.206399999999995,United States,9.96
1946,Chicago,10.226599999999996,United States,11.4
1947,Chicago,10.229999999999997,United States,10.22
1948,Chicago,10.233399999999996,United States,10.41
1949,Chicago,10.254599999999996,United States,11.18
1950,Chicago,10.230599999999995,United States,9.43
1951,Chicago,10.221599999999993,United States,9.42
1952,Chicago,10.238999999999994,United States,10.91
1953,Chicago,10.280999999999992,United States,11.67
1954,Chicago,10.331999999999994,United States,11.11
1955,Chicago,10.363799999999994,United States,11.01
1956,Chicago,10.366999999999996,United States,10.72
1957,Chicago,10.388999999999994,United States,10.42
1958,Chicago,10.373399999999995,United States,9.9
1959,Chicago,10.384199999999995,United States,10.43
1960,Chicago,10.382399999999993,United States,10.11
1961,Chicago,10.376599999999994,United States,10.58
1962,Chicago,10.397399999999994,United States,9.99
1963,Chicago,10.378599999999992,United States,9.89
1964,Chicago,10.39579999999999,United States,11.06
1965,Chicago,10.40299999999999,United States,10.34
1966,Chicago,10.407199999999989,United States,10.05
1967,Chicago,10.442799999999991,United States,9.84
1968,Chicago,10.454799999999992,United States,10.66
1969,Chicago,10.442599999999992,United States,10.03
1970,Chicago,10.452799999999991,United States,10.34
1971,Chicago,10.418799999999992,United States,10.58
1972,Chicago,10.388199999999992,United States,9.39
1973,Chicago,10.416799999999991,United States,11.55
1974,Chicago,10.448399999999992,United States,10.35
1975,Chicago,10.466199999999994,United States,10.82
1976,Chicago,10.479599999999994,United States,9.79
1977,Chicago,10.477999999999994,United States,10.46
1978,Chicago,10.462999999999996,United States,9.46
1979,Chicago,10.464799999999995,United States,9.37
1980,Chicago,10.449999999999996,United States,10.05
1981,Chicago,10.412999999999995,United States,10.54
1982,Chicago,10.400599999999995,United States,9.99
1983,Chicago,10.397599999999995,United States,10.94
1984,Chicago,10.393399999999994,United States,10.66
1985,Chicago,10.395399999999995,United States,10.11
1986,Chicago,10.414599999999997,United States,10.82
1987,Chicago,10.455599999999995,United States,12.04
1988,Chicago,10.444799999999995,United States,10.86
1989,Chicago,10.413799999999995,United States,9.8
1990,Chicago,10.450399999999995,United States,11.5
1991,Chicago,10.453799999999996,United States,11.58
1992,Chicago,10.450399999999997,United States,10.24
1993,Chicago,10.459599999999996,United States,10.18
1994,Chicago,10.454399999999994,United States,10.56
1995,Chicago,10.466599999999994,United States,10.57
1996,Chicago,10.429799999999993,United States,9.56
1997,Chicago,10.428199999999993,United States,10.14
1998,Chicago,10.476199999999992,United States,12.81
1999,Chicago,10.486999999999993,United States,11.72
2000,Chicago,10.520199999999996,United States,11.09
2001,Chicago,10.565799999999998,United States,11.7
2002,Chicago,10.578199999999997,United States,11.53
2003,Chicago,10.554399999999998,United States,10.48
2004,Chicago,10.550999999999998,United States,10.94
2005,Chicago,10.5624,United States,11.58
2006,Chicago,10.5854,United States,11.87
2007,Chicago,10.606000000000002,United States,11.45
2008,Chicago,10.612800000000002,United States,10.24
2009,Chicago,10.610200000000003,United States,10.3
2010,Chicago,10.644400000000003,United States,11.82
2011,Chicago,10.657000000000004,United States,11.21
2012,Chicago,10.713600000000003,United States,12.82
2013,Chicago,10.747600000000004,United States,11.59
